step_bucket,key,metric,count,mean,max
300,layer/block0,rel_delta,300,0.000365083,0.000417555
300,layer/block0.attn,rel_delta,300,0.000991244,0.00119438
300,layer/block0.mlp,rel_delta,300,0.000443024,0.000510869
300,layer/block1,rel_delta,300,9.81723e-05,0.000134195
300,layer/block1.attn,rel_delta,300,0.000279391,0.000367703
300,layer/block1.mlp,rel_delta,300,0.000115059,0.000156674
300,layer/block2,rel_delta,300,2.67831e-05,4.22888e-05
300,layer/block2.attn,rel_delta,300,7.56893e-05,0.000104853
300,layer/block2.mlp,rel_delta,300,3.4048e-05,5.19643e-05
300,layer/block3,rel_delta,300,2.47784e-05,4.35348e-05
300,layer/block3.attn,rel_delta,300,2.81236e-05,4.61444e-05
300,layer/block3.mlp,rel_delta,300,3.12098e-05,5.19803e-05
300,layer/head,rel_delta,300,0.0186536,0.0313985
300,layer/patch_embed,rel_delta,300,0.00103601,0.0011281
300,"matmul_(256, 10)",a_rel_move,300,4.01042e-08,4.04257e-08
300,"matmul_(256, 10)",t_max,300,2.33205e-07,1.10736e-06
300,"matmul_(256, 10)",t_mean,300,5.11784e-09,1.37761e-08
300,"matmul_(256, 10)",t_sat,300,0,0
300,"matmul_(256, 10)",z_norm,300,5886.47,11246
300,"matmul_(256, 64, 128)",a_rel_move,6300,7.59335e-06,0.000297219
300,"matmul_(256, 64, 128)",t_max,6300,0.0237864,0.499997
300,"matmul_(256, 64, 128)",t_mean,6300,2.59658e-06,4.41018e-05
300,"matmul_(256, 64, 128)",t_sat,6300,6.24657e-07,5.48363e-05
300,"matmul_(256, 64, 128)",z_norm,6300,49986,485564
300,"matmul_(256, 64, 512)",a_rel_move,1200,6.24617e-06,0.000135043
300,"matmul_(256, 64, 512)",t_max,1200,0.0497357,0.499997
300,"matmul_(256, 64, 512)",t_mean,1200,1.86666e-06,9.57492e-06
300,"matmul_(256, 64, 512)",t_sat,1200,3.62893e-07,1.22786e-05
300,"matmul_(256, 64, 512)",z_norm,1200,173264,840880
300,"matmul_pw_(256, 16, 64, 64)",a_rel_move,1200,0.000241883,0.000383297
300,"matmul_pw_(256, 16, 64, 64)",t_max,1200,0.503981,0.513596
300,"matmul_pw_(256, 16, 64, 64)",t_mean,1200,9.64682e-06,1.73647e-05
300,"matmul_pw_(256, 16, 64, 64)",t_sat,1200,6.63439e-06,1.54376e-05
300,"matmul_pw_(256, 16, 64, 64)",z_norm,1200,3959.84,4254.13
300,"matmul_pw_(256, 16, 64, 8)",a_rel_move,1200,0.0340106,0.0755613
300,"matmul_pw_(256, 16, 64, 8)",t_max,1200,0.326656,0.506118
300,"matmul_pw_(256, 16, 64, 8)",t_mean,1200,2.0028e-05,0.000110663
300,"matmul_pw_(256, 16, 64, 8)",t_sat,1200,4.71751e-06,3.38554e-05
300,"matmul_pw_(256, 16, 64, 8)",z_norm,1200,36975,171780
300,rmsnorm,rel_delta,2400,0.000127077,0.00043476
300,rmsnorm,sigma_flip,2400,0,0
300,softmax,clamp_frac,1200,0.000396194,0.000914037
300,softmax,max_logit_disp,1200,13.9252,16.1065
300,softmax,mean_logit_disp,1200,0.00900216,0.0207109
300,softmax,z_min,1200,-0.212386,-0.149016
